          40
     0.000e+00     9.795e+02     2.882e+02     1.277e+01     5.400e-05
     5.000e-01     9.237e+02     2.969e+02     8.343e+00     5.394e-05
     1.000e+00     8.711e+02     2.924e+02     7.830e+00     5.400e-05
     1.500e+00     8.207e+02     2.878e+02     7.552e+00     5.429e-05
     2.000e+00     7.726e+02     2.843e+02     6.751e+00     5.400e-05
     2.500e+00     7.267e+02     2.810e+02     6.566e+00     5.242e-05
     3.000e+00     6.833e+02     2.797e+02     1.379e-01     5.000e-05
     3.500e+00     6.426e+02     2.779e+02     4.262e-01     4.753e-05
     4.000e+00     6.040e+02     2.744e+02     1.249e+00     4.600e-05
     4.500e+00     5.672e+02     2.706e+02     1.482e+00     4.592e-05
     5.000e+00     5.323e+02     2.673e+02     1.219e+00     4.600e-05
     5.500e+00     4.990e+02     2.640e+02     9.092e-01     4.517e-05
     6.000e+00     4.674e+02     2.599e+02     7.468e-01     4.500e-05
     6.500e+00     4.375e+02     2.566e+02     5.568e-01     4.689e-05
     7.000e+00     4.091e+02     2.527e+02     3.847e-01     4.900e-05
     7.500e+00     3.821e+02     2.486e+02     2.725e-01     4.958e-05
     8.000e+00     3.565e+02     2.451e+02     1.407e-01     5.200e-05
     8.500e+00     3.323e+02     2.414e+02     7.354e-02     6.005e-05
     9.000e+00     3.095e+02     2.379e+02     3.057e-02     7.100e-05
     9.500e+00     2.878e+02     2.334e+02     2.521e-02     7.984e-05
     1.000e+01     2.673e+02     2.292e+02     1.775e-02     9.002e-05
     1.050e+01     2.479e+02     2.252e+02     1.153e-02     1.078e-04
     1.100e+01     2.296e+02     2.215e+02     7.666e-03     1.301e-04
     1.151e+01     2.122e+02     2.183e+02     6.780e-03     1.487e-04
     1.202e+01     1.959e+02     2.144e+02     3.674e-03     1.602e-04
     1.253e+01     1.803e+02     2.109e+02     2.630e-03     1.657e-04
     1.306e+01     1.653e+02     2.082e+02     1.948e-03     1.709e-04
     1.363e+01     1.508e+02     2.078e+02     1.374e-03     1.817e-04
     1.424e+01     1.363e+02     2.080e+02     1.008e-03     1.948e-04
     1.494e+01     1.215e+02     2.079e+02     5.959e-04     2.087e-04
     1.580e+01     1.056e+02     2.094e+02     3.606e-04     2.330e-04
     1.693e+01     8.769e+01     2.060e+02     3.097e-04     2.768e-04
     1.849e+01     6.759e+01     2.051e+02     2.746e-04     3.349e-04
     2.078e+01     4.725e+01     2.059e+02     2.964e-04     3.801e-04
     2.422e+01     2.770e+01     2.094e+02     3.925e-04     3.557e-04
     2.952e+01     1.240e+01     2.144e+02     2.612e-04     2.117e-04
     3.772e+01     3.781e+00     2.342e+02     6.210e-05     7.267e-05
     5.042e+01     7.299e-01     2.589e+02     6.926e-06     3.585e-06
     7.000e+01     5.326e-02     2.082e+02     9.474e-08     8.600e-08
     1.000e+02     2.902e-04     1.985e+02     6.316e-10     1.000e-10
