0.1195	6.30E-02	
0.1205	0.5722	
0.1215	4.995	
0.1225	1.207	
0.1235	4.86E-02	
0.1245	3.50E-02	
0.1255	2.94E-02	
0.1265	3.59E-02	
0.1275	2.17E-02	
0.1285	1.76E-02	
0.1295	4.07E-02	
0.1305	0.1229	
0.1315	4.06E-02	
0.1325	4.21E-02	
0.1335	0.1712	
0.1345	4.66E-02	
0.1355	3.88E-02	
0.1365	3.15E-02	
0.1375	2.98E-02	
0.1385	4.04E-02	
0.1395	7.71E-02	
0.1405	6.19E-02	
0.1415	4.29E-02	
0.1425	4.77E-02	
0.1435	5.21E-02	
0.1445	5.19E-02	
0.1455	5.64E-02	
0.1465	7.22E-02	
0.1475	8.65E-02	
0.1485	8.36E-02	
0.1495	8.11E-02	
0.1505	8.86E-02	
0.1515	9.44E-02	
0.1525	0.1185	
0.1535	0.1324	
0.1545	0.2099	
0.1555	0.2186	
0.1565	0.1882	
0.1575	0.175	
0.1585	0.1707	
0.1595	0.1788	
0.1605	0.1971	
0.1615	0.2271	
0.1625	0.2568	
0.1635	0.2895	
0.1645	0.303	
0.1655	0.4385	
0.1665	0.4066	
0.1675	0.395	
0.1685	0.4644	
0.1695	0.599	
0.1705	0.6743	
0.1715	0.7011	
0.1725	0.7391	
0.1735	0.7791	
0.1745	0.9241	
0.1755	1.1	
0.1765	1.243	
0.1775	1.429	
0.1785	1.567	
0.1795	1.607	
0.1805	1.867	
0.1815	2.276	
0.1825	2.286	
0.1835	2.287	
0.1845	2.106	
0.1855	2.355	
0.1865	2.752	
0.1875	3.067	
0.1885	3.354	
0.1895	3.638	
0.1905	3.836	
0.1915	4.245	
0.1925	4.192	
0.1935	3.881	
0.1945	5.31	
0.1955	5.531	
0.1965	6.123	
0.1975	6.309	
0.1985	6.306	
0.1995	6.792	
0.2005	7.466	
0.2015	8.177	
0.2025	8.419	
0.2035	9.394	
0.2045	10.45	
0.2055	10.74	
0.2065	11.29	
0.2075	12.9	
0.2085	15.34	
0.2095	21.79	
0.2105	28.45	
0.2115	34.18	
0.2125	31.9	
0.2135	33.79	
0.2145	40.8	
0.2155	36.84	
0.2165	32.89	
0.2175	35.96	
0.2185	45.22	
0.2195	47.82	
0.2205	48.24	
0.2215	40.33	
0.2225	50.6	
0.2235	64.22	
0.2245	60.1	
0.2255	53.29	
0.2265	40.16	
0.2275	40.69	
0.2285	52.94	
0.2295	48.62	
0.2305	53.12	
0.2315	51.95	
0.2325	54.28	
0.2335	45.6	
0.2345	39.71	
0.2355	52.4	
0.2365	49.52	
0.2375	49.37	
0.2385	42.77	
0.2395	44.97	
0.2405	40.31	
0.2415	52.46	
0.2425	71.96	
0.2435	67.81	
0.2445	62.14	
0.2455	50.34	
0.2465	51.37	
0.2475	56.57	
0.2485	46.53	
0.2495	57.46	
0.2505	61.25	
0.2515	46.89	
0.2525	42.34	
0.2535	52.54	
0.2545	60.71	
0.2555	80.82	
0.2565	103.8	
0.2575	127.8	
0.2585	127.5	
0.2595	106	
0.2605	87.15	
0.2615	91.52	
0.2625	105.6	
0.2635	168.9	
0.2645	254.5	
0.2655	257.5	
0.2665	254.2	
0.2675	255.6	
0.2685	248.5	
0.2695	243.5	
0.2705	272.4	
0.2715	228.7	
0.2725	201.2	
0.2735	200.2	
0.2745	135.2	
0.2755	178.5	
0.2765	247.5	
0.2775	238.2	
0.2785	162.3	
0.2795	87.19	
0.2805	96.45	
0.2815	212.3	
0.2825	299.8	
0.2835	319.5	
0.2845	239.8	
0.2855	166.3	
0.2865	328.9	
0.2875	342.8	
0.2885	328.4	
0.2895	481.8	
0.2905	612.8	
0.2915	592	
0.2925	531.9	
0.2935	545.8	
0.2945	518.5	
0.2955	563.8	
