 2.500E-01 1.400E-01 1.212E-01 1.883E-02 8.655E-01 7.379E-01 1.439E-01
 3.000E-01 1.218E-01 1.127E-01 9.061E-03 9.256E-01 7.234E-01 1.260E-01
 3.500E-01 1.055E-01 9.855E-02 7.000E-03 9.337E-01 7.170E-01 1.098E-01
 4.500E-01 8.027E-02 7.468E-02 5.518E-03 9.312E-01 7.047E-01 8.433E-02
 5.000E-01 7.048E-02 6.551E-02 4.967E-03 9.295E-01 6.977E-01 7.444E-02
 5.500E-01 6.221E-02 5.756E-02 4.654E-03 9.252E-01 6.918E-01 6.604E-02
 6.500E-01 4.938E-02 4.531E-02 4.067E-03 9.177E-01 6.783E-01 5.290E-02
 7.500E-01 4.005E-02 3.638E-02 3.678E-03 9.082E-01 6.662E-01 4.328E-02
 8.000E-01 3.590E-02 3.230E-02 3.600E-03 8.997E-01 6.620E-01 3.900E-02
 1.000E+00 2.552E-02 2.219E-02 3.325E-03 8.698E-01 6.415E-01 2.816E-02
 2.000E+00 7.635E-03 6.219E-03 1.416E-03 8.145E-01 6.842E-01 9.385E-03
 3.500E+00 4.623E-03 3.561E-03 1.062E-03 7.703E-01 7.248E-01 6.373E-03
 2.500E-01 7.819E-02 6.006E-02 1.812E-02 7.682E-01 6.894E-01 9.267E-02
 3.000E-01 6.797E-02 5.885E-02 9.121E-03 8.658E-01 6.591E-01 8.136E-02
 3.500E-01 5.856E-02 5.151E-02 7.049E-03 8.796E-01 6.488E-01 7.086E-02
 4.500E-01 4.415E-02 3.861E-02 5.539E-03 8.745E-01 6.361E-01 5.437E-02
 5.000E-01 3.870E-02 3.371E-02 4.978E-03 8.713E-01 6.298E-01 4.807E-02
 5.500E-01 3.415E-02 2.950E-02 4.656E-03 8.636E-01 6.257E-01 4.276E-02
 6.500E-01 2.719E-02 2.313E-02 4.054E-03 8.509E-01 6.157E-01 3.449E-02
 7.500E-01 2.221E-02 1.856E-02 3.651E-03 8.357E-01 6.087E-01 2.848E-02
 8.000E-01 1.991E-02 1.635E-02 3.560E-03 8.213E-01 6.098E-01 2.573E-02
 1.000E+00 1.472E-02 1.147E-02 3.252E-03 7.791E-01 6.024E-01 1.920E-02
 2.000E+00 5.512E-03 4.168E-03 1.345E-03 7.560E-01 7.517E-01 7.624E-03
 3.500E+00 3.699E-03 2.868E-03 8.305E-04 7.754E-01 8.020E-01 5.605E-03
